UFID,GRND_FLR,HEIGHT,CONT,ABSOLUTE_HEIGHT,latitude,longitude
2012410916052808599100000000,1.0,3.0,5.596121193099835,8.596121193099835,36.00533123526611,129.33999933165325
2008410929442810911300000000,1.0,2.5,6.371308710823087,8.871308710823087,36.00741038892101,129.340209286649
2012410549642809333900000000,4.0,6.0,5.772868732114325,11.772868732114325,36.00607197052002,129.33595814258467
0000410594422812386600000000,0.0,4.0,4.805630688259627,8.805630688259626,36.008811238364025,129.33653555412062
0000410157072814716500000000,0.0,4.0,30.0,34.0,36.011003589988036,129.3317502366632
2012411200472809348100000000,2.0,4.0,4.5275752839089485,8.527575283908948,36.00594409746613,129.3431712854129
0000410791982809616000000000,0.0,4.0,5.516445212354034,9.516445212354034,36.00627373581016,129.3386513320785
0000410981822810532200000000,0.0,4.0,4.999999999999999,9.0,36.00705770738385,129.34077963219343
0000410976762809683300000000,0.0,4.0,4.978430011144984,8.978430011144983,36.00629436690297,129.34070102937565
0000410967992809691000000000,0.0,4.0,4.911475151077708,8.911475151077708,36.00630315562047,129.34060405724333
0000410963072810392200000000,0.0,4.0,5.0,9.0,36.00693569100591,129.34056818435565
0000410966922810452200000000,0.0,4.0,5.0,9.0,36.00698887490523,129.34061234873684
1995410665832812515100000000,0.0,4.0,4.710506994846166,8.710506994846167,36.00891152306203,129.3373304074783
0000410980272809987300000000,0.0,4.0,5.0,9.0,36.00656732850361,129.3407479628794
0000410959262809500200000000,0.0,4.0,4.971842350235822,8.971842350235821,36.00613326874713,129.34050221797537
0000410968092810522000000000,0.0,4.0,5.0,9.0,36.00705146310337,129.3406272416186
0000410940682809961700000000,0.0,4.0,5.0,9.0,36.00655286593204,129.3403084899943
1990410595682813234700000000,3.0,4.5,4.924766648301292,9.424766648301292,36.00957468369364,129.336572054494
1999410040532811845800000000,2.0,4.5,8.737541546337992,13.237541546337992,36.00844361699482,129.33038248636896
0000410816682810870700000000,0.0,4.0,8.886943311213232,12.886943311213232,36.00739822353586,129.33895847230238
0000410823282809950800000000,0.0,4.0,6.332384923795447,10.332384923795447,36.00656844092895,129.33900720339543
0000410977862810357100000000,0.0,4.0,5.0,9.0,36.006900877751406,129.3407311489226
0000410977252810170500000000,0.0,4.0,5.0,9.0,36.00673300103287,129.34071943389532
0000410981512810141200000000,0.0,4.0,5.0,9.0,36.006705639493234,129.34076581231056
0000410885662809975100000000,0.0,4.0,6.196897560655749,10.19689756065575,36.00657679323766,129.3396991368644
0000410828732811735300000000,0.0,4.0,6.794605997735731,10.794605997735731,36.00817413412839,129.33911505167188
